,molecular_weight,chemostat_0.5_mean,chemostat_0.35_mean,chemostat_0.2_mean,chemostat_0.12_mean,chemostat_0.5_uncertainty,chemostat_0.35_uncertainty,chemostat_0.2_uncertainty,chemostat_0.12_uncertainty
P0A964,18054.53266,44,163,33,1,53.7,10.26,11.93,71.44
P39280,38707.24591,17,9,4,3,9.62,42.81,28.18,34.36
P02942,59388.25188,13,31,5,0,35.32,39.57,53.51,117.34
P0AES9,11832.1397,7992,11213,12260,14880,47.53,2.59,3.78,7
P0AF90,15575.03289,2453,1906,1606,1421,14.98,11.86,6.1,6.35
P0A7P5,5359.06597,9819,6853,5216,4802,10.08,6.38,8.42,7.68
P0A937,12276.16819,1972,1919,1652,1576,5.02,8.05,5.69,7.5
P0ADZ7,11861.4007,3277,2991,2836,2476,4.99,5.98,6.52,7.02
P65292,8150.86723,1133,1770,2586,3963,19.33,12.41,6.37,6.45
P0AAV6,12845.9355,181,233,298,324,29.89,12.11,10.13,8.66
P69908,52633.13916,11,11,12,17,28.93,14.28,5.25,7.49
P32703,60465.76178,450,341,367,336,9.04,14.82,7.17,9.37
P03817,15779.90774,2454,1954,1511,1086,18.9,12.86,8.03,13.96
P0ADQ7,12262.07752,1246,1145,1393,1119,19.82,4.56,9.74,8.78
P68191,5074.75469,4312,4131,3923,3455,14.65,16.5,10.23,3.36
P0AE48,12840.36745,634,415,500,306,3.25,9.87,13.97,15.75
P0C037,10209.86884,1229,1101,984,682,9.21,4.97,9.82,4.05
P0AB40,8791.53021,86,70,55,58,88.68,56.69,159.21,46.3
Q2M7R5,7972.24394,277,208,257,295,21.94,12.96,8.71,10.37
P0A731,16889.74062,1297,1292,1045,919,2.15,19.41,8.26,11.28
P0A6T9,13784.63774,424,265,180,187,13.67,11.72,25.88,21.34
P33224,60532.75051,11,12,23,32,22.93,11.7,11.33,5.39
P31547,23222.84957,535,443,407,497,12.15,12.91,14.53,5.83
P64534,12440.24192,423,348,353,285,4.68,5.29,18.29,3.37
P0AFW8,9455.67371,465,400,346,258,12.75,6.75,8.2,9.45
P0ABE2,11968.08703,201,177,139,132,10.67,15.28,4.97,9.93
P76407,32000.34292,66,72,86,95,21.84,3.03,9.82,16.85
P0ACC3,12074.75582,2190,1691,1178,993,9.18,9.61,5.32,4.73
P0AEC0,56474.01734,75,79,73,58,5.93,11.33,7.48,12.53
P52096,14709.3447,128,135,160,128,9.57,10.59,2.44,14.13
P0AC92,6553.42733,812,435,535,311,19.3,4.14,37.75,17.64
P0AGK4,10759.04069,359,230,235,234,16.17,8.28,10.21,4.9
P0AFH6,32982.33712,122,100,52,37,5.03,8.53,57.24,69.69
P0ABY4,19669.48877,196,157,80,74,27.47,38.18,22.29,26.95
P0AE91,17079.02378,237,236,193,243,14.81,14.47,7.35,21.42
P69054,14271.78771,2601,2381,1900,1669,10.94,6.55,10.32,7.06
P33368,26915.75915,34,55,96,148,51.24,7.89,6.5,9.68
P16681,16142.71835,23,34,53,79,15.34,10.65,9.59,10.1
P0AGG0,35030.6783,60,54,51,40,21.31,5.06,16.01,4.75
P0AGG4,15526.69435,158,122,95,95,18.56,16.45,7.87,6.47
P75820,31035.06186,41,53,39,44,26.46,15.03,22.67,17.69
P75798,34026.18337,90,77,60,50,5.7,17.88,15.42,11.08
P0AB12,16246.8707,392,332,282,313,14.76,20.84,13.79,14.3
P77570,39453.35123,69,64,68,68,12.35,7.1,6.44,12.72
P0ADX5,6576.51859,11,19,30,36,24.4,43.42,23.4,65.69
P0AFK2,26960.25026,61,51,61,56,12.42,14.23,18.69,3.09
P78055,22964.16327,64,55,58,40,15.63,20.27,10.4,40.76
P0AFJ1,12318.96123,121,138,144,145,19.14,12.74,6.53,6.15
P0AFM9,8739.60149,139,162,168,99,8.93,2.22,18.82,18.57
P23477,134541.5039,11,15,15,13,16.8,14.44,15.1,36.06
P0ABV6,15355.37553,95,60,47,42,14.81,17.52,16.54,26.74
P64476,7243.81714,214,189,204,165,31.84,5.14,8.68,21.46
P0A840,26865.59578,111,127,126,113,6.7,18.49,8.56,7.22
P37757,32280.54451,69,72,67,66,4.62,7.36,7.91,15.24
P0ACG8,15468.26447,50,32,64,38,17.69,42.16,40.37,8.46
P17445,52859.73742,61,47,40,20,4.44,11.65,37.18,16.28
P13458,118630.9679,10,11,9,8,16.24,11.52,55.46,7.93
P28634,26327.69853,58,50,41,33,7.11,10.8,12.32,16.46
P16701,30254.2464,398,251,170,139,26.19,16.82,24.93,13.11
P76341,15432.0562,134,169,143,71,19.41,6.25,7.2,1.19
P65870,13745.89403,128,91,81,55,11.22,13.85,2.38,11.97
P0AC55,12233.6764,4,0,26,73,22.32,90.08,3.08,56.64
P30014,23489.59336,85,57,46,34,5.05,20.12,23.12,11.16
P37642,37869.22146,35,25,37,51,29.79,20.64,9.33,15.98
P77285,21880.35735,89,69,70,39,9.86,17.97,9.74,37.61
P31475,26041.25646,76,72,59,44,18.96,10.94,12.73,15.41
P0AA31,8615.38263,3849,4032,3361,2612,5.88,14.06,4.2,3.8
P77667,13273.47858,243,144,125,79,13.52,18.33,13.24,1.51
P25746,22915.1599,170,149,130,115,5.1,3.13,2.93,7.63
P23878,29747.48938,9,8,6,6,35.34,36.52,22.59,26.74
P0ADC3,43217.91251,31,24,23,15,13.26,9.94,34.02,8.76
P0ACL0,28012.40604,60,53,57,48,14.21,38.28,28.55,28.42
P23930,57011.19269,38,37,32,25,1.12,3.36,11.37,13.84
P0A6W3,39830.55502,34,25,22,19,7.56,12.72,24.23,18.37
P0AB10,20603.63296,49,51,62,57,16.28,6.01,7.8,13.34
P52644,15137.58295,9,14,10,11,30.71,15.34,49.8,66.08
P0ABJ3,22589.45441,77,43,54,44,18.22,38.65,28.24,23.6
P69801,27599.68299,688,426,294,245,7.7,35.92,35.55,13.54
P69853,23311.73668,55,48,41,17,5.41,8.57,38.4,6.23
P0AA53,33703.72147,38,34,42,43,6.32,20.17,11.11,5.64
P77330,10422.52736,1728,1207,812,772,9.99,3.97,29.55,12.09
P0A6R3,11214.75515,1592,956,557,326,11.56,11.06,6.67,9.7
P0A8R4,8191.18194,173,146,91,80,25.28,12.48,13.29,9.23
P0A8B2,20981.98037,59,46,43,33,2.8,6.81,15.56,4.02
Q46822,20477.22272,28,29,44,47,34.6,41.12,47.12,22.46
P64423,36570.59722,21,18,18,15,9.91,8.96,22.2,4.48
P0ADX9,21646.15383,33,26,18,18,13.02,13.57,10.86,7.13
P19934,43112.47725,27,29,15,18,40.86,55.89,44.91,44.57
P76112,19217.57217,38,26,28,27,14.58,31.18,28.79,12.61
P36672,51029.32585,28,43,80,88,24.66,1.5,11.38,1.35
P0AAQ2,13337.39409,137,132,92,61,39.1,5.87,16.85,7.38
P76539,16283.10396,64,66,67,57,20.87,16.84,6.8,13.18
P21361,5980.82158,47,70,66,60,33.95,20.92,14.3,12.02
P76046,52558.10385,23,16,13,17,27.06,30.04,22.81,16.37
P37327,34462.77374,31,44,43,51,10.95,17.1,15.23,12.07
P76330,64224.80085,15,18,16,17,8.03,30.61,11.16,14.34
P0A752,24494.56589,20,17,14,13,12.02,26.94,51.11,10.01
P37340,49396.50795,17,10,10,10,20.54,28.33,13.98,5.13
P0A9W6,9427.72188,192,109,173,128,14.72,38.43,48.72,30.05
P0AEI6,17403.64618,15,9,9,7,38.51,20.56,40.72,2.7
P0A6I6,17807.10425,41,27,26,33,9.8,18.74,22.18,6.79
P27838,12205.80259,103,74,44,50,6.24,22.64,14.91,10.09
P37671,31028.83427,86,51,45,39,14.05,19.55,15.18,8.73
P0AA57,13383.99032,45,34,22,21,23.34,58.36,12.23,47.23
P05041,50919.63501,14,11,7,6,3.55,10.07,36.8,7.23
P18390,17323.79744,143,132,114,111,7.38,22.34,16.5,19
P0AC23,30951.9479,52,66,68,66,17.39,16.97,28.63,5.5
P37615,13470.02868,50,48,59,65,4.24,4.26,2.64,11.09
P77712,15060.84544,79,111,124,115,18.6,2.56,21.27,11.28
Q47622,61508.41287,21,16,15,17,23.49,2.09,9,16.8
P0ACW6,8854.61993,7,15,34,9,46.04,79.08,22.53,107.54
P27247,38172.48086,39,43,42,45,11.36,11.48,21.13,14.05
P0AEP9,53759.593,18,16,13,16,9.31,7.98,29.96,10.94
P14176,37577.3499,8,6,4,5,41.79,68.22,29.88,21.85
P77279,25348.13345,48,34,28,27,14.03,12.17,11.01,16.16
P52094,24615.27278,101,117,127,126,8.35,7.99,23.92,14.86
P28632,15146.81145,13,6,5,4,39,73.91,117.68,108.78
P0ACK5,28511.57257,45,35,42,36,11.39,3.97,13.75,17.21
P0AA99,27985.12231,39,26,19,6,7.26,3.43,3.22,15.21
P29013,60756.97139,8,9,13,17,33.97,14.01,36.22,5.09
P13001,28468.85214,27,24,16,14,6.42,15.98,21.64,18.42
P0A8Y8,14942.35231,18,10,8,8,40.91,30.92,69.09,47.04
P77554,50498.75607,7,10,8,7,54.18,18.7,14.01,32.19
P77721,28225.67774,23,29,27,31,18.44,23.35,21.35,16.88
P37344,36945.19741,15,15,13,12,18.92,19.54,5.47,9.42
P23837,55246.81346,18,22,21,23,10.45,9.03,12.85,9.11
P0C0K3,38078.10676,19,11,9,6,20.27,26.52,5.01,35.24
P37649,74315.39691,10,9,8,11,31.51,18.87,13.33,28.64
P19636,31743.39396,36,33,41,40,4.84,2.24,12.36,17.13
P64612,43018.03749,44,31,29,20,17.8,5.65,21.09,10.59
P37659,61974.43042,92,97,68,61,7.54,6.35,7.92,4.88
P64448,6817.65486,71,63,50,52,16.1,6.93,7.4,16.8
P75713,28694.14792,65,73,81,110,23.01,25.3,31.77,4.06
P0A6E9,24947.35565,5,5,4,5,25.98,8.83,54.66,31.17
P05804,68385.67522,1,4,7,12,82.49,11.34,43.06,14.56
P0A915,22895.28127,130,283,309,358,28.21,14.19,12.84,10.37
P0AE63,8921.34967,71,54,53,66,13.19,19.79,31.3,18.64
P0A7Y4,17567.83941,10,6,7,4,21.55,17.99,32.54,37.23
P30847,51941.16903,13,13,10,11,13.59,15.51,30.03,21.14
P69488,12305.21781,86,89,131,113,21.45,9.6,26.38,20.92
P75782,34186.48259,26,14,16,14,25.91,58.73,67.54,23.43
P76491,22675.59007,40,31,20,19,7.82,23.99,15.48,12.93
P0A9T8,24499.8241,16,21,22,16,15.3,13,48.22,29.32
P28306,38205.32134,12,7,9,8,20.3,5.64,21.3,11.04
P75821,38043.37864,11,9,8,9,5.47,23.26,16.76,13.48
P0AGI1,33412.39622,44,62,69,82,8.54,18.22,17.66,1.13
P0AEV1,37260.50082,10,11,11,9,31.9,8.76,11.08,30.37
P29680,39204.89119,9,7,2,4,56.46,21.8,128.07,77.62
P33650,84400.82244,17,10,6,4,30.56,34.95,6.05,11.56
P23871,35843.27231,7,5,5,2,44.76,5.07,17.56,64.37
P31828,104573.7103,7,5,3,2,18.15,10.11,28.18,36.75
P0A6B4,39110.1558,14,9,9,8,10.84,9.71,34.71,31.02
P0A8G0,68127.44655,1,1,1,1,9,30.89,29.98,101.06
P0A8J2,19425.00867,30,27,12,6,28.98,35.58,47.29,81.96
P0C079,9047.79287,85,75,75,56,2.88,18.47,36.15,8.71
P0A944,16581.3683,46,47,27,26,9.59,14.28,34.87,13.23
P39356,36070.68919,23,18,17,16,38.93,10.05,15.78,20.29
P31119,80630.57813,10,13,12,9,6.9,7.74,20.8,7.32
P24228,51747.53005,5,5,3,2,17.1,11.65,22.6,9.85
P0A7Y8,13762.65097,128,95,63,67,18.57,14.53,19.71,11.49
P06846,36169.89052,15,8,6,5,19.82,31.71,50.97,31.38
P27240,27425.62615,6,4,5,5,11.01,35.92,6.98,27.62
P0A9U6,20061.16312,153,223,133,79,15.78,8.69,31.58,13.55
Q46839,58863.68758,15,73,116,124,30.06,18.77,18.78,2.87
P30843,24997.14381,19,23,23,32,22.56,5.97,13.93,26.46
P0AGI4,40986.02687,0,0,0,0,60.09,172.02,171.57,111.67
P37339,46034.50872,16,14,8,11,21.23,26.73,61.25,37.31
P45544,27785.2581,14,14,11,10,30.28,19.25,5.69,12.98
P76055,35520.02369,22,13,10,12,11.45,66.9,18.67,42.95
P00805,36809.73585,1,2,1,1,36.55,26.85,78.4,44.57
P30864,33736.61375,10,9,8,9,18.23,11.13,55.23,7.84
P21865,98638.9449,5,4,6,6,24.78,3.21,13.21,4.5
B8LFD5,38834.1893,17,17,13,15,8.03,3.47,39.26,30.19
P64479,10840.26976,209,241,428,532,33.23,12.64,9.49,5.81
P15082,28200.37293,21,20,20,6,29.6,61.83,20.19,10.33
P0AA63,24551.31261,25,22,14,17,19.92,42.76,12.74,12.82
P0A9F6,34362.11053,15,14,14,15,16.75,4.41,13.24,24.22
P26459,57863.80187,0,0,0,0,50.92,87.64,76.2,29.15
P0AEB0,32498.35892,54,32,21,9,22.09,14.97,15.48,25.15
P0ACL2,29798.93423,50,49,41,43,9.45,15.06,13.39,17.02
P75959,33003.5642,5,5,4,4,12.68,5.14,13.24,8.92
P0A6M2,20110.56132,77,61,48,37,23.67,7.31,15.03,12.77
P0A9F9,35588.55525,41,40,36,42,21.5,16.63,16.78,47.18
P16431,64920.75289,1,1,2,1,95.9,77.36,30.38,12.63
P0AEC5,102369.9211,5,4,4,4,5.65,18.3,11.47,3.49
Q46925,43188.95647,2,2,3,4,31.6,36.17,36.76,14.02
P56258,40595.8448,5,3,3,4,6.5,11.73,10.04,5.1
P75809,30159.07836,27,26,24,11,25.3,10.97,10.88,34.13
P37351,16045.25233,49,37,34,28,13.92,16.54,68.48,6.71
P64467,8393.29455,23,17,15,10,5.54,3.34,5.89,19.09
P24555,79422.33087,2,2,2,1,12.11,23.32,22.01,21.38
P15723,59327.47404,3,4,3,3,9.59,0.31,17.16,10.31
P0AC44,12841.03993,37,39,32,36,3.8,20.14,15.33,13.44
P77791,20065.24705,58,80,96,68,17.96,14.5,25.35,11.02
P77257,55768.52443,0,1,1,22,1.53,62.28,56.98,19.56
P76217,52975.16476,8,11,16,15,15.41,29.06,37.25,39.79
P03007,27063.74021,9,8,8,5,11.24,36.93,22.25,8.75
P0ABK9,53650.73241,0,0,0,0,81.56,117.96,145.08,83.5
P0AAT6,11556.82767,22,15,8,5,4.84,5.3,7.35,7.69
P64461,11229.62576,3,3,12,21,15.58,77.24,7.05,16.15
P37661,63745.52059,4,5,6,7,30.71,16.37,17.47,11.53
P0A6S0,24582.36131,12,15,16,4,28.63,9.14,47.45,47.36
P0ACI3,44823.08056,0,1,1,2,44.29,55.94,29.63,18.54
P0AE67,14070.27599,136,369,115,22,35.01,6.6,12.13,1.85
P0ACN7,37777.32841,5,5,5,9,47.69,7.65,17.78,82.27
P13039,42524.57524,1,0,0,0,29.59,22.33,40.25,83.88
P64463,7253.75327,14,22,23,21,14.69,7.79,12.97,37.95
P76445,26723.51423,13,9,7,2,66.39,7.75,53.95,26.08
P0ACY9,10692.27498,158,109,62,23,19.64,13.98,11.48,48.58
P0AEH1,49022.40986,8,7,6,5,12.1,6.59,45.4,17.28
P0AGA6,20857.9082,29,27,26,21,16.02,13.88,11.48,25.7
Q06065,52125.18557,12,17,18,16,26.26,23.28,8.03,19.53
P23331,23423.6654,46,31,18,16,4.92,4.73,69.68,10.13
P23173,45163.0612,14,27,41,63,8.52,13.78,11.11,7.39
P16528,29702.3942,8,2,3,1,64.79,93.22,34.57,51.72
P56580,33292.82514,0,0,0,0,165.16,165.91,107.66,167.64
P39405,30075.33488,3,0,1,1,77.61,129.73,101.55,87.53
P0CG19,24391.49325,33,14,9,4,19.79,26.03,51.1,37.91
P32684,32438.40849,5,3,3,1,18.69,42.16,9.41,87.27
P00892,59228.74221,23,6,3,2,12.1,10.02,14.88,13.61
P09549,22906.23661,30,24,27,27,13.89,11.78,14.5,3.36
P0AEM6,27486.2642,6,10,5,2,46.15,43.7,50.58,27.64
P26365,47937.87141,5,4,4,2,14.77,18.39,24.14,10.81
P77611,80103.92128,6,4,2,1,18.06,75.96,46.55,66.63
P0ABF4,9841.19138,33,62,84,127,20.14,21.39,24.72,16.89
P10442,21494.37992,18,12,6,3,16.46,9.27,19.37,47.57
P33590,58664.18196,1,1,1,1,11.46,2.49,14.32,14.03
P07363,71319.95878,18,41,16,0,8.92,27.45,15.02,42.33
P76121,20935.58134,11,9,24,31,85.53,83.19,61.16,26.6
P65367,16245.97352,141,216,194,153,15.37,35.04,11.17,26.35
P0ACK8,27327.20472,24,45,19,18,17.97,11.28,23.47,30.16
P0A6A0,63144.4162,7,5,7,6,1.09,53.48,18.5,13.77
P16095,48857.13065,2,1,1,1,19.58,41.89,45.72,43.5
Q46919,12760.34477,57,50,31,28,17.93,10.25,27.35,8.09
P0AEN4,13600.25765,23,17,11,4,20.45,6.54,34.08,42.78
P75906,77346.20831,11,8,6,3,10.92,18.45,8.35,11.03
P52074,45063.30465,2,9,8,13,84.53,6.24,25.54,14
P75954,34596.11664,3,3,1,1,40.76,41.32,49.42,25.31
P64585,15119.20843,15,15,27,17,30.72,23.22,19.93,27.54
P76350,47767.92342,15,12,15,7,52.55,51.1,82.5,20.12
P75829,38314.69249,1,3,1,1,101.84,38.47,13.35,74.3
P45771,19839.65187,4,4,3,3,14.29,5.56,60.25,90.11
P23200,35509.23597,35,26,32,20,18.14,10.28,16.47,13.73
P36560,10566.75765,0,0,0,0,105.01,1.4,155.16,143.81
P02916,56958.59293,29,54,56,30,7.87,13.45,38.25,31.78
Q6BF16,21359.05096,0,0,0,0,1.21,1,138.24,145.41
P0AEL0,24572.12915,0,0,0,0,94.42,119.73,93.1,73.12
P21345,47110.82199,3,1,1,1,54.1,52.76,20.07,84.88
P69739,40636.93027,0,0,1,0,0.6,69.3,66.06,138.98
P25748,37315.00407,0,0,0,0,159.44,83.74,157.79,171.08
P0A996,44061.53167,0,0,0,0,168.59,87.21,100.23,169.07
P76440,44283.4691,1,0,1,0,87.72,81.96,66.61,58.24
P0AAZ4,49577.22431,5,5,3,6,24.38,13.74,58.93,12.95
P0ADB7,4788.51531,43000,54110,50177,53332,17.88,11.22,11.83,9.71
P0ADA7,6925.61897,1902,1960,2597,4136,16.99,7.74,8.68,9.22
P0A7Q6,4343.43911,3450,2062,1812,1554,10.45,21.38,20.34,9.23
P0A6D0,16965.84566,742,500,422,356,9.41,8.19,8.93,12.86
P0A898,17496.46109,108,269,185,243,89.61,21.53,14.37,50.81
Q6E0U3,43373.76227,72,54,51,40,9.93,5.35,20.83,2.39
P0AFT2,24767.2196,162,114,111,135,7.85,16.2,23.92,12.72
P39298,27552.8958,113,80,78,82,6.54,17.7,1.45,2.31
P0ABG1,31415.04641,57,62,62,57,1.5,26.23,28.77,43.5
P68699,8232.38507,192,226,181,138,24.04,19.06,9.1,16.09
P0AD24,8265.27759,191,153,153,125,10.07,23.47,3.87,9.7
P18393,8247.87699,49,24,22,21,24.23,37.91,21.5,57.91
P0AF52,45663.88814,124,80,55,67,19.2,13.59,22.96,12.88
P0A890,9070.52356,286,267,154,201,11.26,18.27,19.16,9.69
P37750,21643.43555,105,184,149,158,13.54,3.15,6.44,18.64
P0ACV6,26523.23108,53,70,69,66,28.28,20.08,9.6,4.56
P0A8Z7,21609.74693,38,36,43,45,16.43,21.06,26.97,15.63
P0AEH3,17390.65594,100,70,58,40,9.04,9.74,11.44,20.34
P64616,10771.36875,36,35,46,67,23.39,2.76,12.68,5.53
P41052,40212.24573,14,14,7,9,26.76,28.75,11.71,40.38
P76194,15772.20615,6,1,5,3,86.35,62.9,124.63,105.6
P39337,18592.28007,66,86,77,57,17.78,2.54,5.04,1.3
P0ACV4,11326.27978,188,211,192,183,4.79,1.28,20.1,15.18
P0C960,22194.43952,74,44,36,23,23.1,6.84,8.95,8.64
P0A8R7,39349.43739,40,40,39,39,12.94,10.18,5.2,9.32
P68567,26914.24722,17,13,11,14,14.11,9.89,6.35,17.89
P0AE39,28684.6737,11,14,18,13,20.52,18.27,12.04,18.59
P67697,15218.98275,72,65,110,133,33.56,10.69,14.69,6.05
P31801,39125.07236,36,24,21,19,10.55,21.11,19.49,6.61
P0AD07,8215.10559,150,94,89,83,2.56,7.19,10.57,13.49
P0AFE4,10819.97948,267,218,180,168,12.15,13.9,11.68,15.85
P0AAV4,23913.50252,92,94,82,54,18.35,4.77,11.4,30.57
P0C066,40069.49319,6,16,12,3,64.11,72.48,74.76,71.85
P45469,23164.99638,8,11,13,24,14.99,28.47,11.08,4.87
P0A7Q1,7266.26326,102,66,52,42,20.79,5.3,23.02,19.11
P0AFP4,29373.10702,41,39,36,37,8.77,14.2,16.29,8.28
P31680,30541.54864,72,46,42,43,28.67,21.38,42.79,22.62
P0AFK6,29073.66195,72,39,36,21,17.77,3.3,9.75,10.81
P0AC16,13593.04335,121,113,98,54,6.75,1.9,5.92,7.14
P0AFF0,51992.04676,109,81,70,64,3.24,18.22,17.89,5.25
P0A9H5,21967.13764,118,126,116,75,3.22,4.07,8.41,9.87
P0AFS3,26313.56662,26,23,27,28,4.77,6.26,19.53,16.81
P76062,17634.15454,56,68,74,26,13.33,13.04,2.1,99.72
P0ADV9,21671.13798,61,60,59,79,18.76,14.01,27.76,5.85
P33647,12466.47567,70,73,68,69,18.41,22.82,8.41,12.95
P0A8Z0,14203.3308,40,33,23,30,5.28,4.72,13.76,11.5
P37637,111427.8252,0,1,1,3,50.74,72.17,42.17,16.1
P08245,11371.09405,65,37,33,37,2.25,16.54,5.4,19.38
P46859,19513.00572,6,4,1,1,33.41,63.64,32.85,129.92
P76001,13387.27341,22,18,17,17,9.64,11.53,65.66,4.66
D8FH86,35325.32876,24,20,21,17,32.73,33.17,25.89,20.89
P0AAW1,28753.60686,5,5,7,5,32.94,6.8,10.53,11.59
P69910,52616.14498,7,8,8,10,35.14,25.11,8.76,5.22
P0AB49,10461.42793,5,6,10,6,26.67,46.11,42.93,12.65
P77615,36093.66433,26,25,25,24,19.59,24.64,18.12,6.43
P0A6V5,12056.61516,5,3,1,1,17.99,57.9,11.71,42.59
Q46864,14675.5967,20,17,18,21,18.39,23.11,21.58,41.56
P0A8C1,11411.79062,115,121,141,120,7.43,4.17,10,3.85
P0AFW0,18310.62435,35,37,30,25,4.95,13.4,1.45,14.91
P0AD44,27312.92855,4,4,5,4,7.62,41.03,51.3,9.17
P0AGJ7,17697.0057,25,14,9,9,18.94,12.51,11.72,13.12
P39321,136677.0266,4,4,4,3,13.7,18.49,20.93,19.22
P64488,13584.79585,1,2,2,2,69.62,23.46,10.68,16.79
P61887,32695.83335,19,12,12,8,21.44,63.17,18.46,17.01
P76502,17178.5693,29,23,17,11,20.24,14.54,37.88,17.5
E1MTY0,33458.63468,14,8,8,7,20.39,14.8,22.54,13.12
P0A8N0,17664.37878,37,37,25,17,16.9,19.85,41.44,25.79
P0AFA7,56673.40997,20,16,11,14,64.72,93.53,17.57,47.3
P77526,24482.57638,26,36,23,31,10.24,24.14,47.13,17.59
P0AFY6,46411.35263,4,4,4,3,62.1,34.41,12.58,8.08
P77302,46404.9105,26,22,11,6,17.06,13.21,25.9,20.65
P51024,19892.57974,56,34,29,25,27.23,11.87,24.6,26.85
P0AD57,35176.70652,54,56,52,50,14.75,8.89,26.85,4.11
P0A8V0,32890.88317,4,3,2,2,5.45,10.89,25.91,23.6
P68688,9660.76081,78,82,57,52,11.61,12.12,6.51,5.39
P0AFJ5,26398.404,12,6,9,13,21.32,79.74,29.87,40.21
P0AEG1,32269.29171,129,107,99,78,17.88,42.59,14.85,28.27
P24224,14025.51012,29,28,21,21,26.01,8.27,34.16,15.49
P76342,37327.34044,15,11,11,14,19.72,19.46,10.3,10.18
P0AEY3,30375.18521,2,3,3,3,28.13,52.11,76.32,58.76
P0ACX5,7884.24121,34,29,19,16,26.95,21.38,28.7,12.63
P0AAX3,8544.38689,11,1,2,2,8.69,79.52,18.83,92.54
P62672,13840.01621,11,16,17,14,30.98,23.18,1.02,7.74
P45531,13018.79152,19,15,12,10,25.18,45.43,50.28,37.54
P39334,21469.82323,55,61,33,29,13.62,18.28,14.08,6.57
P76561,24821.4456,8,14,17,14,43.52,52.18,81.16,80.63
P0ACS7,32323.62427,26,30,27,27,9.52,11.98,8.36,10.68
P76223,42799.84579,8,8,6,7,14.11,17.49,31.45,12.37
P76231,10313.09727,65,48,28,20,9.35,11.72,65.4,31.31
P32173,21610.99557,16,13,11,11,7.04,16.15,9.42,16.7
P39161,29271.79279,9,11,7,9,32.53,25.21,31.98,13.72
P32685,10507.58832,86,71,54,48,13.24,29.45,24.39,13.65
P77182,74368.85895,4,1,1,0,25.64,11.63,95.79,71.2
P33644,26304.0757,8,9,9,8,8.33,8.67,3.26,4.13
P06966,15628.36252,16,15,8,11,20.74,25.23,78.39,51.05
P0AFX7,24287.99697,38,44,34,38,16.81,13.66,12.95,23.57
P43337,21404.30829,11,9,9,11,59.9,1.96,81.56,25.63
P68739,24638.84252,8,7,9,9,6.42,24.93,26.82,9.32
P0A8D3,16940.74665,28,19,12,8,13.67,8.46,4.6,22.31
P75958,45297.15927,3,3,2,2,10.09,28.68,31.66,6.14
P0ABR1,8925.50991,26,19,16,18,43.4,45.63,37.5,19.36
P31550,36122.50419,19,8,6,6,36.66,7.27,30.93,22.74
P76318,24945.47371,2,1,2,1,40.75,87.36,8.51,93.48
P0A9G4,15207.58712,46,44,41,36,9.25,14.68,30.64,20.6
P30128,18497.54848,6,9,3,4,25.99,26.24,12.61,37.32
P76273,53175.97166,51,43,42,24,13.73,14.46,5.23,15.27
P36673,34490.8725,7,8,6,8,11.81,22.97,2.46,17.46
P76237,56548.98294,2,3,3,4,18.03,11.65,44.73,21.21
P64610,24311.57908,16,19,18,12,37.49,18.9,62.59,16
P75974,25060.52554,4,13,7,5,16.79,50.51,62.87,33.75
P21365,26383.57942,13,11,8,7,2.09,5.68,6.06,7.3
P52060,10431.76399,25,18,15,10,16.09,4.36,15.59,36.34
P33014,8125.05516,6251,5430,3553,2062,7.27,15.84,9.51,12.37
Q47083,35815.80719,8,12,8,6,28.64,30.83,12.79,43.35
P24207,50625.89595,13,19,10,6,115.75,78.34,17.56,9.41
P76007,62227.45021,4,4,3,2,35.58,31.08,49.73,87.41
P27300,35548.81356,8,5,5,4,12.28,28.45,15.35,17.38
P32125,19333.10377,7,8,5,4,23.08,34.21,65.03,37.87
P60872,58883.01742,36,32,32,36,6.2,6.25,15.56,15.44
P0AFE8,56468.78099,27,25,19,17,7.52,24.13,25.95,30.19
P76164,8702.8156,45,22,12,9,17.66,34.49,15.74,24.11
P27837,50347.6544,10,8,6,6,9.9,21.97,23.41,19.03
P60782,22160.83806,11,11,17,21,18.3,30.92,26.82,13.5
P42626,45314.01645,5,5,2,4,11.92,15.01,49.69,34.55
P00936,97506.18956,7,4,1,1,18.76,13.58,62.19,10.96
P42904,17057.00437,44,87,90,99,9.8,19.76,13.89,5.83
P0A6S5,11596.94527,11,9,6,3,8.6,44.48,41.03,9.1
P24252,20180.48824,0,0,0,0,1.02,1.16,0.64,0.55
P28631,36895.11788,9,9,8,6,18.77,22.96,9.38,12.51
P60720,23849.28176,1,2,4,1,80.34,54.07,34.76,51.54
P69346,9283.61816,43,39,27,23,16.49,19.27,53.22,16.1
P21369,23329.25303,30,34,22,14,14.26,18.08,45.54,13.81
P75839,26246.69386,19,26,30,35,17.94,17.29,20.63,7.27
P23842,83451.88215,4,4,3,3,39.28,23.79,5.09,13.28
P09126,27762.46373,10,14,14,14,23.13,8.29,20.93,21.54
P75989,28228.59956,3,3,2,1,33.59,30.16,7.92,9.94
P0A6M4,15921.98499,5,5,5,4,10.15,24.87,35.36,37.62
P07648,128747.9472,2,2,2,1,35.41,19.94,8.23,19.61
P38051,48716.08772,3,2,2,2,19.08,15.47,33.25,39.5
Q46798,26529.88379,2,1,2,2,7.19,27.85,32.75,10.68
