Entry	Entry name	Protein names	Gene names	Organism	Length	Mass	Gene names  (synonym )	Gene names  (primary )	Gene names  (ORF )	Gene names  (ordered locus )	Cross-reference (Pfam)	Cross-reference (SUPFAM)	Protein families	3D
Q03323	SDC1_YEAST	COMPASS component SDC1 (Complex proteins associated with SET1 protein SDC1) (Set1C component SDC1) (Suppressor of CDC25 protein 1)	SDC1 CPS25 SAF19 YDR469W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	175	19,446	CPS25 SAF19	SDC1		YDR469W	PF05186;		Dpy-30 family	Electron microscopy (2)
P32602	SEC17_YEAST	Alpha-soluble NSF attachment protein (SNAP-alpha) (N-ethylmaleimide-sensitive factor attachment protein alpha) (Vesicular-fusion protein SEC17) (alpha-SNAP chaperone)	SEC17 YBL050W YBL0505 YBL0517	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	292	32,803		SEC17	YBL0505 YBL0517	YBL050W		SSF48452;	SNAP family	X-ray crystallography (1)
P40510	SER33_YEAST	D-3-phosphoglycerate dehydrogenase 2 (3-PGDH 2) (EC 1.1.1.95) (2-oxoglutarate reductase) (EC 1.1.1.399)	SER33 YIL074C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	469	51,188		SER33		YIL074C	PF00389;PF02826;	SSF51735;SSF55021;	D-isomer specific 2-hydroxyacid dehydrogenase family	
Q08204	SMC5_YEAST	Structural maintenance of chromosomes protein 5	SMC5 YOL034W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1093	126,037		SMC5		YOL034W	PF02463;	SSF52540;	SMC family, SMC5 subfamily	X-ray crystallography (1)
P39990	SNU13_YEAST	13 kDa ribonucleoprotein-associated protein (Small nuclear ribonucleoprotein-associated protein 1)	SNU13 YEL026W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	126	13,569		SNU13		YEL026W	PF01248;	SSF55315;	Eukaryotic ribosomal protein eL8 family	Electron microscopy (30); X-ray crystallography (3)
P33330	SERC_YEAST	Phosphoserine aminotransferase (PSAT) (EC 2.6.1.52) (Phosphohydroxythreonine aminotransferase)	SER1 SERC YOR184W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	395	43,416	SERC	SER1		YOR184W	PF00266;	SSF53383;	Class-V pyridoxal-phosphate-dependent aminotransferase family, SerC subfamily	
P53438	SOK2_YEAST	Protein SOK2	SOK2 YMR016C YM9711.03C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	785	85,643		SOK2	YM9711.03C	YMR016C		SSF54616;	EFG1/PHD1/stuA family	
P40167	SLZ1_YEAST	Sporulation-specific with a leucine zipper motif protein 1	SLZ1 YNL196C N1386	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	298	34,318		SLZ1	N1386	YNL196C				
P50278	SOL1_YEAST	6-phosphogluconolactonase-like protein 1	SOL1 YNR034W N3291	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	321	35,653		SOL1	N3291	YNR034W	PF01182;	SSF100950;	Glucosamine/galactosamine-6-phosphate isomerase family, 6-phosphogluconolactonase subfamily	
P36048	SN114_YEAST	Pre-mRNA-splicing factor SNU114 (114 kDa U5 small nuclear ribonucleoprotein component) (Growth inhibitory protein 10)	SNU114 GIN10 YKL173W YKL637	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1008	114,041	GIN10	SNU114	YKL637	YKL173W	PF00679;PF03764;PF16004;PF00009;PF03144;	SSF50447;SSF52540;SSF54211;SSF54980;	TRAFAC class translation factor GTPase superfamily, Classic translation factor GTPase family, EF-G/EF-2 subfamily	Electron microscopy (22); X-ray crystallography (1)
P40150	SSB2_YEAST	Ribosome-associated molecular chaperone SSB2 (EC 3.6.4.10) (Heat shock protein SSB2) (Hsp70 chaperone Ssb)	SSB2 YG103 YNL209W N1333	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	613	66,595	YG103	SSB2	N1333	YNL209W	PF00012;	SSF100920;SSF100934;SSF53067;	Heat shock protein 70 family, Ssb-type Hsp70 subfamily	
P35177	SPT7_YEAST	Transcriptional activator SPT7	SPT7 YBR081C YBR0739	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1332	152,617		SPT7	YBR0739	YBR081C	PF00439;	SSF47370;		Electron microscopy (2)
P32583	SRP40_YEAST	Suppressor protein SRP40	SRP40 YKR092C YKR412A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	406	41,015		SRP40	YKR412A	YKR092C	PF05022;			
P09007	SRD1_YEAST	Pre-rRNA-processing protein SRD1 (Suppressor of rRNA-processing defect protein 1)	SRD1 YCR018C YCR18C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	221	25,514		SRD1	YCR18C	YCR018C	PF00320;			
P22217	TRX1_YEAST	Thioredoxin-1 (Thioredoxin I) (TR-I) (Thioredoxin-2)	TRX1 TRX2 YLR043C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	103	11,235	TRX2	TRX1		YLR043C	PF00085;	SSF52833;	Thioredoxin family	NMR spectroscopy (3); X-ray crystallography (2)
Q12516	SRF1_YEAST	Regulator of phospholipase D SRF1 (SPO14 regulatory factor 1)	SRF1 YDL133W D2185	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	437	49,580		SRF1	D2185	YDL133W				
P53101	STR3_YEAST	Cystathionine beta-lyase (CBL) (EC 4.4.1.13) (Beta-cystathionase) (Cysteine lyase) (Cysteine-S-conjugate beta-lyase) (Sulfur transfer protein 3)	STR3 YGL184C G1601	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	465	51,828		STR3	G1601	YGL184C	PF01053;	SSF53383;	Trans-sulfuration enzymes family	
Q02794	STD1_YEAST	Protein STD1 (Glucose repression modulator MSN3) (Suppressor of Tbp deletion protein 1) (Suppressor of fluoride sensitivity 3)	STD1 MSN3 SFS3 YOR047C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	444	50,261	MSN3 SFS3	STD1		YOR047C	PF17235;			
P13574	STE12_YEAST	Protein STE12	STE12 YHR084W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	688	77,867		STE12		YHR084W	PF02200;		STE12 transcription factor family	X-ray crystallography (1)
P23561	STE11_YEAST	Serine/threonine-protein kinase STE11 (EC 2.7.11.25)	STE11 YLR362W L8039.10	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	717	80,721		STE11	L8039.10	YLR362W	PF00069;PF14847;PF07647;	SSF47769;SSF56112;	Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase kinase subfamily	NMR spectroscopy (2)
Q08673	SRL1_YEAST	Cell wall protein SRL1	SRL1 YOR247W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	210	22,048		SRL1		YOR247W				
P38198	STU1_YEAST	Protein STU1 (Suppressor of tubulin 1)	STU1 YBL034C YBL0416	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1513	174,177		STU1	YBL0416	YBL034C	PF12348;	SSF48371;	CLASP family	X-ray crystallography (1)
Q04673	SSL1_YEAST	General transcription and DNA repair factor IIH subunit SSL1 (TFIIH subunit SSL1) (RNA polymerase II transcription factor B subunit SSL1) (TFB subunit SSL1) (Suppressor of stem-loop protein 1)	SSL1 YLR005W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	461	52,290		SSL1		YLR005W	PF07975;PF04056;	SSF53300;	GTF2H2 family	Electron microscopy (13); X-ray crystallography (1)
P38931	SSN2_YEAST	Mediator of RNA polymerase II transcription subunit 13 (Mediator complex subunit 13) (Protein SCA1) (Suppressor of RNA polymerase B SSN2)	SSN2 MED13 NUT8 RYE3 SCA1 SRB9 UME2 YDR443C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1420	160,001	MED13 NUT8 RYE3 SCA1 SRB9 UME2	SSN2		YDR443C	PF06333;PF11597;		Mediator complex subunit 13 family	Electron microscopy (2)
P38871	SSP1_YEAST	Sporulation-specific protein 1	SSP1 YHR184W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	571	65,815		SSP1		YHR184W				
Q06524	SUE1_YEAST	Protein SUE1, mitochondrial	SUE1 YPR151C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	206	24,305		SUE1		YPR151C	PF08692;			
P53937	SWS2_YEAST	37S ribosomal protein SWS2, mitochondrial (Mitochondrial small ribosomal subunit protein uS13m) (Sick without securin protein 2)	SWS2 YNL081C N2322	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	143	16,089		SWS2	N2322	YNL081C	PF00416;	SSF46946;	Universal ribosomal protein uS13 family	Electron microscopy (3)
P38358	VBA2_YEAST	Vacuolar basic amino acid transporter 2	VBA2 YBR293W YBR2109	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	474	51,677		VBA2	YBR2109	YBR293W	PF07690;	SSF103473;	Major facilitator superfamily	
P04803	SYWM_YEAST	Tryptophan--tRNA ligase, mitochondrial (EC 6.1.1.2) (Tryptophanyl-tRNA synthetase) (TrpRS)	MSW1 MSW YDR268W D9954.7	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	379	43,015	MSW	MSW1	D9954.7	YDR268W	PF00579;		Class-I aminoacyl-tRNA synthetase family	
Q99385	VCX1_YEAST	Vacuolar calcium ion transporter (High copy number undoes manganese protein 1) (Manganese resistance 1 protein) (Vacuolar Ca(2+)/H(+) exchanger)	VCX1 HUM1 MNR1 YDL128W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	411	44,646	HUM1 MNR1	VCX1		YDL128W	PF01699;		Ca(2+):cation antiporter (CaCA) (TC 2.A.19) family	X-ray crystallography (1)
P04840	VDAC1_YEAST	Mitochondrial outer membrane protein porin 1 (Voltage-dependent anion-selective channel protein 1) (VDAC-1)	POR1 OMP2 VDAC1 YNL055C N2441 YNL2441C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	283	30,428	OMP2 VDAC1	POR1	N2441 YNL2441C	YNL055C	PF01459;		Eukaryotic mitochondrial porin family	
P40478	VDAC2_YEAST	Mitochondrial outer membrane protein porin 2 (Voltage-dependent anion-selective channel protein 2) (VDAC-2)	POR2 YIL114C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	281	31,177		POR2		YIL114C	PF01459;		Eukaryotic mitochondrial porin family	
P40498	UTP25_YEAST	U3 small nucleolar RNA-associated protein 25 (U3 snoRNA-associated protein 25) (U three protein 25)	UTP25 YIL091C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	721	83,991		UTP25		YIL091C	PF06862;	SSF52540;	UTP25 family	
P16140	VATB_YEAST	V-type proton ATPase subunit B (V-ATPase subunit B) (V-ATPase 57 kDa subunit) (Vacuolar proton pump subunit B)	VMA2 VAT2 YBR127C YBR1002	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	517	57,749	VAT2	VMA2	YBR1002	YBR127C	PF00006;PF02874;	SSF52540;	ATPase alpha/beta chains family	Electron microscopy (9); X-ray crystallography (2)
Q06679	UTP4_YEAST	U3 small nucleolar RNA-associated protein 4 (U3 snoRNA-associated protein 4) (U three protein 4) (U3 protein 4 required for transcription) (t-UTP4)	UTP4 YDR324C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	776	87,801		UTP4		YDR324C	PF00400;	SSF50978;		Electron microscopy (20)
Q04177	UTP5_YEAST	U3 small nucleolar RNA-associated protein 5 (U3 snoRNA-associated protein 5) (U three protein 5) (U3 protein 5 required for transcription) (t-UTP5)	UTP5 YDR398W D9509.17	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	643	72,002		UTP5	D9509.17	YDR398W	PF04003;	SSF50978;	UTP5 family	Electron microscopy (21)
Q02354	UTP6_YEAST	U3 small nucleolar RNA-associated protein 6 (U3 snoRNA-associated protein 6) (U three protein 6)	UTP6 YDR449C D9461.34	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	440	52,418		UTP6	D9461.34	YDR449C	PF08640;	SSF48452;	UTP6 family	Electron microscopy (20)
P40055	UTP7_YEAST	U3 small nucleolar RNA-associated protein 7 (U3 snoRNA-associated protein 7) (U three protein 7)	UTP7 KRE31 YER082C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	554	62,317	KRE31	UTP7		YER082C	PF08149;	SSF50978;		Electron microscopy (20)
P53276	UTP8_YEAST	U3 small nucleolar RNA-associated protein 8 (U3 snoRNA-associated protein 8) (U three protein 8) (U3 protein 8 required for transcription) (t-UTP8)	UTP8 YGR128C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	713	80,191		UTP8		YGR128C	PF10395;			Electron microscopy (19)
P38882	UTP9_YEAST	U3 small nucleolar RNA-associated protein 9 (U3 snoRNA-associated protein 9) (U three protein 9) (U3 protein 9 required for transcription) (t-UTP9)	UTP9 YHR196W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	575	65,271		UTP9		YHR196W				Electron microscopy (20)
P40554	URM1_YEAST	Ubiquitin-related modifier 1	URM1 YIL008W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	99	11,028		URM1		YIL008W	PF09138;	SSF54285;	URM1 family	NMR spectroscopy (1); X-ray crystallography (2)
Q06525	URN1_YEAST	Pre-mRNA-splicing factor URN1 (U2-U5-U6 snRNP, RES complex and NTC-interacting pre-mRNA-splicing factor 1)	URN1 YPR152C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	465	54,139		URN1		YPR152C	PF01846;PF00397;	SSF51045;SSF81698;		NMR spectroscopy (1)
P21373	UTR1_YEAST	NAD(+) kinase (EC 2.7.1.23) (Unknown transcript 1 protein)	UTR1 YJR049C J1655	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	530	59,469		UTR1	J1655	YJR049C	PF01513;	SSF111331;	NAD kinase family	
P32630	UTR5_YEAST	Protein UTR5 (Unknown transcript 5 protein)	UTR5 YEL035C SYGP-ORF27	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	166	19,335		UTR5	SYGP-ORF27	YEL035C				
P31412	VATC_YEAST	V-type proton ATPase subunit C (V-ATPase subunit C) (V-ATPase 42 kDa subunit) (Vacuolar proton pump subunit C)	VMA5 VAT3 VATC YKL080W YKL410	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	392	44,189	VAT3 VATC	VMA5	YKL410	YKL080W	PF03223;	SSF118203;	V-ATPase C subunit family	Electron microscopy (9); X-ray crystallography (3)
Q12063	UPPS_YEAST	Dehydrodolichyl diphosphate synthase complex subunit NUS1 (EC 2.5.1.87) (Nuclear undecaprenyl pyrophosphate synthase 1)	NUS1 YDL193W D1239	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	375	42,557		NUS1	D1239	YDL193W		SSF64005;	UPP synthase family	X-ray crystallography (1)
P32610	VATD_YEAST	V-type proton ATPase subunit D (V-ATPase subunit D) (Vacuolar proton pump subunit D)	VMA8 YEL051W SYGP-ORF11	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	256	29,194		VMA8	SYGP-ORF11	YEL051W	PF01813;		V-ATPase D subunit family	Electron microscopy (9); X-ray crystallography (3)
P22203	VATE_YEAST	V-type proton ATPase subunit E (V-ATPase subunit E) (V-ATPase 27 kDa subunit) (Vacuolar proton pump subunit E)	VMA4 VAT5 YOR332W O6241	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	233	26,471	VAT5	VMA4	O6241	YOR332W	PF01991;		V-ATPase E subunit family	Electron microscopy (9); NMR spectroscopy (1); X-ray crystallography (4)
P39111	VATF_YEAST	V-type proton ATPase subunit F (V-ATPase subunit F) (V-ATPase 14 kDa subunit) (Vacuolar proton pump subunit F)	VMA7 YGR020C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	118	13,461		VMA7		YGR020C	PF01990;	SSF159468;	V-ATPase F subunit family	Electron microscopy (9); X-ray crystallography (3)
P48836	VATG_YEAST	V-type proton ATPase subunit G (V-ATPase subunit G) (V-ATPase 13 kDa subunit) (Vacuolar proton pump subunit G)	VMA10 YHR039C-A YHR039BC YHR039C-B	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	114	12,713		VMA10	YHR039BC YHR039C-B	YHR039C-A	PF03179;		V-ATPase G subunit family	Electron microscopy (9); NMR spectroscopy (2); X-ray crystallography (4)
P41807	VATH_YEAST	V-type proton ATPase subunit H (V-ATPase subunit H) (V-ATPase 54 kDa subunit) (Vacuolar proton pump subunit H)	VMA13 CLS11 YPR036W YP3085.02	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	478	54,416	CLS11	VMA13	YP3085.02	YPR036W	PF11698;PF03224;	SSF48371;	V-ATPase H subunit family	Electron microscopy (9); X-ray crystallography (3)
P25515	VATL1_YEAST	V-type proton ATPase subunit c (V-ATPase subunit c) (Guanine nucleotide exchange factor 2) (V-ATPase 16 kDa proteolipid subunit 1) (Vacuolar proton pump c subunit)	VMA3 CLS7 CUP5 GEF2 YEL027W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	160	16,351	CLS7 CUP5 GEF2	VMA3		YEL027W	PF00137;	SSF81333;	V-ATPase proteolipid subunit family	Electron microscopy (17)
P32842	VATL2_YEAST	V-type proton ATPase subunit c' (V-ATPase subunit c') (Proteolipid protein VMA11) (Trifluoperazine resistance protein 3) (V-ATPase 16 kDa proteolipid subunit 2) (Vacuolar proton pump c' subunit)	VMA11 CLS9 TFP3 YPL234C P1064	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	164	17,037	CLS9 TFP3	VMA11	P1064	YPL234C	PF00137;	SSF81333;	V-ATPase proteolipid subunit family	Electron microscopy (14)
Q12132	USV1_YEAST	Nutrient and stress factor 1 (Up in starvation protein 1)	USV1 NSF1 YPL230W P1421	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	391	43,518	NSF1	USV1	P1421	YPL230W		SSF57667;		
P01149	MFAL1_YEAST	Mating factor alpha-1 (Alpha-1 mating pheromone) [Cleaved into: Mating factor alpha]	MF(ALPHA)1 MF-ALPHA-1 MFAL1 YPL187W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	165	18,642	MF-ALPHA-1 MFAL1	MF(ALPHA)1		YPL187W	PF04648;PF05436;			Electron microscopy (2)
Q08179	MDM38_YEAST	Mitochondrial distribution and morphology protein 38	MDM38 YOL027C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	573	65,005		MDM38		YOL027C	PF07766;			X-ray crystallography (1)
P33308	MED9_YEAST	Mediator of RNA polymerase II transcription subunit 9 (Chromosome segregation protein 2) (Mediator complex subunit 9)	CSE2 MED9 YNR010W N2046	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	149	17,376	MED9	CSE2	N2046	YNR010W	PF07544;		Mediator complex subunit 9 family	Electron microscopy (2)
P54199	MPS1_YEAST	Serine/threonine-protein kinase MPS1 (EC 2.7.12.2) (Monopolar spindle protein 1) (Regulatory cell proliferation kinase 1)	MPS1 RPK1 YDL028C D2785	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	764	86,772	RPK1	MPS1	D2785	YDL028C	PF00069;	SSF56112;	Protein kinase superfamily, Ser/Thr protein kinase family	
Q12083	MLH3_YEAST	DNA mismatch repair protein MLH3 (MutL protein homolog 3)	MLH3 YPL164C P2550	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	715	82,001		MLH3	P2550	YPL164C	PF08676;	SSF118116;SSF54211;SSF55874;	DNA mismatch repair MutL/HexB family	X-ray crystallography (4)
P35198	MTH1_YEAST	Protein MTH1	MTH1 YDR277C D9954.12	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	433	49,060		MTH1	D9954.12	YDR277C	PF17235;			
Q03677	MTND_YEAST	1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase (EC 1.13.11.54) (Acireductone dioxygenase (Fe(2+)-requiring)) (ARD) (Fe-ARD)	ADI1 YMR009W YM8270.12	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	179	20,879		ADI1	YM8270.12	YMR009W	PF03079;	SSF51182;	Acireductone dioxygenase (ARD) family	
P33749	MSN4_YEAST	Zinc finger protein MSN4 (Multicopy suppressor of SNF1 protein 4)	MSN4 YKL062W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	630	69,723		MSN4		YKL062W	PF00096;	SSF57667;		
Q06106	MRD1_YEAST	Multiple RNA-binding domain-containing protein 1	MRD1 YPR112C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	887	101,120		MRD1		YPR112C	PF00076;	SSF54928;	RRM MRD1 family	
Q03104	MSC1_YEAST	Meiotic sister chromatid recombination protein 1	MSC1 YML128C YM4987.07C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	513	59,589		MSC1	YM4987.07C	YML128C	PF10281;			
P32633	MTC7_YEAST	Maintenance of telomere capping protein 7	MTC7 YEL033W SYGP-ORF22	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	139	16,094		MTC7	SYGP-ORF22	YEL033W				
P35719	MRP8_YEAST	Uncharacterized protein MRP8	MRP8 YKL142W YKL3	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	219	25,097		MRP8	YKL3	YKL142W	PF07957;			
P15424	MS116_YEAST	ATP-dependent RNA helicase MSS116, mitochondrial (EC 3.6.4.13)	MSS116 YDR194C YD9346.05C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	664	76,269		MSS116	YD9346.05C	YDR194C	PF00270;PF00271;	SSF52540;	DEAD box helicase family, DDX18/HAS1 subfamily	X-ray crystallography (13)
Q08471	MSA1_YEAST	G1-specific transcription factors activator MSA1 (MBF and SBF-associated protein 1)	MSA1 YOR066W YOR29-17	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	629	68,691		MSA1	YOR29-17	YOR066W				
P38795	NADE_YEAST	Glutamine-dependent NAD(+) synthetase (EC 6.3.5.1) (NAD(+) synthase [glutamine-hydrolyzing])	QNS1 YHR074W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	714	80,686		QNS1		YHR074W	PF00795;PF02540;	SSF56317;	NAD synthetase family	
Q04149	MUS81_YEAST	Crossover junction endonuclease MUS81 (EC 3.1.22.-) (MMS and UV-sensitive protein 81)	MUS81 SLX3 YDR386W D9509.6	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	632	72,309	SLX3	MUS81	D9509.6	YDR386W	PF02732;	SSF47802;SSF52980;	XPF family	
Q12493	NKP1_YEAST	Inner kinetochore subunit NKP1 (Constitutive centromere-associated network protein NKP1) (Non-essential kinetochore protein 1)	NKP1 YDR383C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	238	26,976		NKP1		YDR383C			NKP1 family	Electron microscopy (4)
P53204	NMA2_YEAST	Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 2 (NMN/NaMN adenylyltransferase 2) (EC 2.7.7.1) (EC 2.7.7.18) (NAD(+) diphosphorylase 2) (NAD(+) pyrophosphorylase 2) (Nicotinamide-nucleotide adenylyltransferase 2) (NMN adenylyltransferase 2) (NMNAT 2) (Nicotinate-nucleotide adenylyltransferase 2) (NaMN adenylyltransferase 2) (NaMNAT 2)	NMA2 YGR010W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	395	44,909		NMA2		YGR010W	PF01467;		Eukaryotic NMN adenylyltransferase family	
P39682	PRP39_YEAST	Pre-mRNA-processing factor 39	PRP39 YML046W YM9827.06	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	629	74,748		PRP39	YM9827.06	YML046W		SSF48452;	PRP39 family	Electron microscopy (7)
Q12311	NTO1_YEAST	NuA3 HAT complex component NTO1	NTO1 YPR031W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	748	86,029		NTO1		YPR031W	PF10513;	SSF57903;		
P23287	PP2B1_YEAST	Serine/threonine-protein phosphatase 2B catalytic subunit A1 (EC 3.1.3.16) (Calcineurin A1) (Calmodulin-binding protein 1)	CNA1 CMP1 YLR433C L9753.6	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	553	63,002	CMP1	CNA1	L9753.6	YLR433C	PF00149;	SSF56300;	PPP phosphatase family, PP-2B subfamily	NMR spectroscopy (1)
P14747	PP2B2_YEAST	Serine/threonine-protein phosphatase 2B catalytic subunit A2 (EC 3.1.3.16) (Calcineurin A2) (Calmodulin-binding protein 2)	CMP2 CNA2 YML057W YM9958.05	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	604	68,528	CNA2	CMP2	YM9958.05	YML057W	PF00149;	SSF56300;	PPP phosphatase family, PP-2B subfamily	
